Variable,Variable Name,Measurement Unit,Allowed Values,Description
Observation Date,observation_date,mm/dd/yyyy,1-12/1-31/1963-2024,When the average price is recorded
Average sale price,ASPUS,Numeric,"0-1,000,000,000",The average sale price of a home in the US
